Proffesion;Sex;Region;2005;2007;2009;2011
;;Томская область;11,22;;17,033.2100;
;;Тульская область;6,57;;14,607.2500;
;;Тюменская область;14,966;;35,339.4900;
;;Тюменская область (частично);;;18,177;
;;Удмуртская Республика;6,762;;12,552.2500;
;;Ульяновская область;2,545;;6,294.7400;
;;Уральский федеральный округ;9,291;;19,673.1400;
;;Хабаровский край;13,787;;22,118.9600;
;;Ханты-Мансийский автономный округ-Югра;24,186;;48,777.4100;
;;Центральный федеральный округ;9,122;;21,132.3300;
;;Челябинская область;7,12;;14,151.5300;
;;Чувашская Республика;5,899;;9,399.2000;
;;Южный федеральный округ (по 2009 год);7,943;;15,733.0900;
;;Ямало-Ненецкий автономный округ;21,17;;72,100.9200;
;;Ярославская область;8,518;;15,471.8600;
;мужчины;Алтайский край;9,251;;18,018.6000;
;;Амурская область;1,167;;14,101.9000;
;;Архангельская область;11,634;;17,901.7300;
;;Астраханская область;26,262;;42,787.2100;
;;Белгородская область;6,415;;16,358.8600;
;;Брянская область;6,897;;14,235.1600;
;;Владимирская область;9,863;;19,320.9400;
;;Волгоградская область;10,841;;20,072.9200;
;;Вологодская область;16,238;;26,910.5300;
;;Воронежская область;10,401;;22,620.9800;
;;г.Москва;24,634;;55,161.4800;
;;г.Санкт-Петербург;10,993;;29,059.0700;
;;Дальневосточный федеральный округ;13,37;;22,891.4000;
;;Еврейская автономная область;15,176;;;
;;Забайкальский край;;;10,337.3100;
;;Ивановская область;5,734;;15,409.8600;
;;Иркутская область;14,938;;26,750.2300;
;;Кабардино-Балкарская Республика;4,386;;;
;;Калининградская область;6,699;;22,459.1600;
;;Калужская область;9,382;;25,929.0100;
;;Карачаево-Черкесская Республика;5,767;;10,780.0200;
;;Кемеровская область;12,157;;20,621.5200;
;;Кировская область;9,677;;14,535.6800;
;;Костромская область;7,804;;18,842.3400;
;;Краснодарский край;9,898;;21,592.0100;
;;Красноярский край;12,193;;29,286.4700;
;;Курганская область;7,538;;12,957.9000;
;;Курская область;8,163;;16,005.3600;
;;Ленинградская область;15,2;;31,088.4300;
;;Липецкая область;5,164;;18,808.3900;
;;Московская область;11,671;;29,085.3400;
;;Нижегородская область;10,141;;20,663.1900;
;;Новгородская область;18,48;;23,289.2300;
;;Новосибирская область;7,495;;16,287.6200;
;;Омская область;29,424;;23,384.0200;
;;Оренбургская область;11,298;;19,786.8200;
;;Орловская область;6,04;;12,776.0400;
;;Пензенская область;8,664;;12,244.6300;
;;Пермский край;13,32;;25,281.2300;
;;Приволжский федеральный округ;12,674;;23,135.9400;
;;Приморский край;9,169;;15,202.4400;
;;Псковская область;1,927;;17,410.1400;
;;Республика Адыгея;4,261;;24,706.0900;
;;Республика Башкортостан;17,037;;30,538.4000;
;;Республика Бурятия;;;7,422.2200;
;;Республика Дагестан;;;9,222.0200;
;;Республика Ингушетия;2,396;;;
;;Республика Калмыкия;2,807;;;
;;Республика Карелия;24,16;;45,8;
;;Республика Коми;20,974;;40,473.1700;
;;Республика Марий Эл;9,808;;15,392.1600;
;;Республика Мордовия;5,732;;12,700.2800;
;;Республика Саха (Якутия);;;40,851.6900;
;;Республика Северная Осетия - Алания;3,693;;5,827.2700;
;;Республика Татарстан;13,843;;22,633.7200;
;;Республика Хакасия;;;17,078.9500;
;;Российская Федерация;13,429;;25,274.7100;
;;Ростовская область;7,611;;22,548.7900;
;;Рязанская область;12,705;;27,690.8000;
;;Самарская область;12,364;;20,986.0500;
;;Саратовская область;8,191;;18,574.3600;
;;Свердловская область;11,982;;23,341.0500;
;;Северо-Западный федеральный округ;14,921;;28,770.3900;
;;Северо-Кавказский федеральный округ;8,567;;;
;;Сибирский федеральный округ;16,029;;22,756.8100;
;;Смоленская область;11,558;;21,598.5700;
;;Ставропольский край;9,362;;26,861.4300;
;;Тамбовская область;6,118;;14,157.6300;
;;Тверская область;10,21;;21,534.7100;
;;Томская область;14,973;;22,063.4800;
;;Тульская область;9,291;;19,354.8600;
;;Тюменская область;23,063;;45,410.9400;
;;Тюменская область (частично);;;25,232.7500;
;;Удмуртская Республика;8,677;;16,110.6500;
;;Ульяновская область;3,642;;9,461.0200;
;;Уральский федеральный округ;15,776;;29,719.0900;
;;Хабаровский край;17,03;;30,563.5100;
;;Ханты-Мансийский автономный округ-Югра;33,133;;59,526.4200;
;;Центральный федеральный округ;16,646;;28,526.9700;
;;Челябинская область;13,473;;21,453.7300;
;;Чувашская Республика;7,736;;13,440.4300;
;;Южный федеральный округ (по 2009 год);13,662;;26,008.4000;
;;Ямало-Ненецкий автономный округ;29,455;;72,818.1500;
;;Ярославская область;12,998;;24,044.3700;
Производство машин и оборудования (без производства оружия и боеприпасов);Всего;Алтайский край;;;;16,093.8900
;;Амурская область;;;;14,869.3400
;;Архангельская область;;;;24,852.8700
;;Архангельская область (без АО);;;;24,852.8700
;;Астраханская область;;;;40,410.9900
;;Белгородская область;;;;20,122.1300
;;Брянская область;;;;15,991.8200
;;Владимирская область;;;;21,344.3500
;;Волгоградская область;;;;19,484.6000
;;Вологодская область;;;;31,487.1100
;;Воронежская область;;;;20,390.2600
;;г.Москва;;;;42,008.9000
;;г.Санкт-Петербург;;;;38,427.5900
;;Дальневосточный федеральный округ;;;;34,421.4100
;;Еврейская автономная область;;;;23,381.2500
;;Забайкальский край;;;;14,832.2900
;;Ивановская область;;;;13,023.1900
;;Иркутская область;;;;25,878.5500
;;Калининградская область;;;;22,633.8100
;;Калужская область;;;;24,258.4400
;;Карачаево-Черкесская Республика;;;;10,267.8800
;;Кемеровская область;;;;23,345.9400
;;Кировская область;;;;16,937.2600
;;Костромская область;;;;15,002.7500
;;Краснодарский край;;;;20,153.5000
;;Красноярский край;;;;42,552.0400
;;Курганская область;;;;18,177.2200
;;Курская область;;;;27,472.0700
;;Ленинградская область;;;;32,238.0700
;;Липецкая область;;;;17,880.1300
;;Магаданская область;;;;34,303.6400
;;Московская область;;;;34,433.1200
;;Мурманская область;;;;31,115.8000
;;Нижегородская область;;;;18,746.8800
;;Новгородская область;;;;33,179.3900
;;Новосибирская область;;;;20,022.9200
;;Омская область;;;;21,843.6500
;;Оренбургская область;;;;16,776.7000
;;Орловская область;;;;19,141.5700
;;Пензенская область;;;;18,517.6700
;;Пермский край;;;;24,813.0300
;;Приволжский федеральный округ;;;;20,262.7800
;;Приморский край;;;;21,815.4700
;;Псковская область;;;;20,089.8600
;;Республика Адыгея;;;;21,456.2900
;;Республика Башкортостан;;;;22,029.4800
;;Республика Бурятия;;;;24,592.8900
;;Республика Дагестан;;;;1,863.3900
;;Республика Ингушетия;;;;4,658.8200
;;Республика Карелия;;;;38,236.3400
;;Республика Коми;;;;41,443.1100
;;Республика Марий Эл;;;;17,639.3600
;;Республика Мордовия;;;;16,702.0100
;;Республика Саха (Якутия);;;;41,104.2500
;;Республика Северная Осетия - Алания;;;;13,453.6600
;;Республика Татарстан;;;;20,547.2800
;;Республика Хакасия;;;;27,934.1000
;;Российская Федерация;;;;25,657.5100
;;Ростовская область;;;;21,084.0100
;;Рязанская область;;;;20,354.1900
;;Самарская область;;;;20,701.5300
;;Саратовская область;;;;15,901.3600
;;Сахалинская область;;;;70,163.4500
;;Свердловская область;;;;25,314.6200
;;Северо-Западный федеральный округ;;;;34,326.2300
;;Северо-Кавказский федеральный округ;;;;13,716.6900
;;Сибирский федеральный округ;;;;29,224.8600
;;Смоленская область;;;;18,700.7000
;;Ставропольский край;;;;15,247.1900
;;Тамбовская область;;;;16,493.9600
;;Тверская область;;;;17,878.4000
;;Томская область;;;;31,354
;;Тульская область;;;;21,481
;;Тюменская область;;;;45,917.3300
;;Тюменская область (без АО);;;;26,009.5500
;;Удмуртская Республика;;;;18,297.7200
;;Ульяновская область;;;;18,629.7600
;;Уральский федеральный округ;;;;27,447.6500
;;Хабаровский край;;;;27,244.1600
;;Ханты-Мансийский автономный округ-Югра;;;;49,779.5000
;;Центральный федеральный округ;;;;25,636.2100
;;Челябинская область;;;;22,548.2300
;;Чеченская Республика;;;;11,084.8500
;;Чувашская Республика;;;;17,889.7800
;;Южный федеральный  округ (с 2010 года);;;;21,021.3200
;;Ямало-Ненецкий автономный округ;;;;64,025.6600
;;Ярославская область;;;;23,630.4100
;женщины;Алтайский край;;;;14,780.3500
;;Амурская область;;;;10,778.7400
;;Архангельская область;;;;17,731.9000
;;Архангельская область (без АО);;;;17,731.9000
;;Астраханская область;;;;28,045.5500
;;Белгородская область;;;;15,802.2600
;;Брянская область;;;;11,257.9600
;;Владимирская область;;;;19,401.9600
;;Волгоградская область;;;;13,295.0400
;;Вологодская область;;;;19,482.4200
;;Воронежская область;;;;14,750.3400
;;г.Москва;;;;37,203.7400
;;г.Санкт-Петербург;;;;31,593.2900
;;Дальневосточный федеральный округ;;;;22,384.5800
;;Еврейская автономная область;;;;27,775
;;Забайкальский край;;;;14,374.8600
;;Ивановская область;;;;9,589.7300
;;Иркутская область;;;;19,278.2400
;;Калининградская область;;;;16,859.6300
;;Калужская область;;;;18,254.4000
;;Карачаево-Черкесская Республика;;;;7,867.3900
;;Кемеровская область;;;;15,514.6200
;;Кировская область;;;;12,767.5800
;;Костромская область;;;;13,319.0400
;;Краснодарский край;;;;14,325.3100
;;Красноярский край;;;;32,266.9400
;;Курганская область;;;;13,176.1200
;;Курская область;;;;18,576.3700
;;Ленинградская область;;;;23,610.9400
;;Липецкая область;;;;14,873.5200
;;Магаданская область;;;;22,786.9600
;;Московская область;;;;27,873
;;Мурманская область;;;;24,013.7200
;;Нижегородская область;;;;14,518.9000
;;Новгородская область;;;;20,939.0400
;;Новосибирская область;;;;14,328.4500
;;Омская область;;;;13,770.5900
;;Оренбургская область;;;;11,018.7700
;;Орловская область;;;;15,501.7500
;;Пензенская область;;;;13,352.0100
;;Пермский край;;;;19,336.8600
;;Приволжский федеральный округ;;;;15,287.2600
;;Приморский край;;;;16,183.1500
;;Псковская область;;;;15,100.2000
;;Республика Адыгея;;;;15,205.9400
;;Республика Башкортостан;;;;15,395.4300
;;Республика Бурятия;;;;21,295.8300
;;Республика Дагестан;;;;1,385.7100
;;Республика Ингушетия;;;;4,66
;;Республика Карелия;;;;29,336.1700
;;Республика Коми;;;;43,285.4200
;;Республика Марий Эл;;;;10,937.3600
;;Республика Мордовия;;;;11,990.8400
;;Республика Саха (Якутия);;;;35,749.0300
;;Республика Северная Осетия - Алания;;;;11,726.6700
;;Республика Татарстан;;;;16,527.4000
;;Республика Хакасия;;;;20,052.6400
;;Российская Федерация;;;;19,137.4200
;;Ростовская область;;;;16,033.8900
;;Рязанская область;;;;14,388.5800
;;Самарская область;;;;15,130.7700
;;Саратовская область;;;;13,098.3400
;;Сахалинская область;;;;48,173.9700
;;Свердловская область;;;;20,332.4500
;;Северо-Западный федеральный округ;;;;26,570.3300
;;Северо-Кавказский федеральный округ;;;;10,466.0700
;;Сибирский федеральный округ;;;;20,458.5700
;;Смоленская область;;;;14,362.6800
;;Ставропольский край;;;;11,619.8900
;;Тамбовская область;;;;12,312.5400
;;Тверская область;;;;13,288.2600
;;Томская область;;;;22,312.2700
;;Тульская область;;;;14,759.8400
;;Тюменская область;;;;34,441.6100
;;Тюменская область (без АО);;;;23,008.0400
;;Удмуртская Республика;;;;15,139.3800
;;Ульяновская область;;;;12,349.3400
;;Уральский федеральный округ;;;;20,218.9200
;;Хабаровский край;;;;19,552.1100
;;Ханты-Мансийский автономный округ-Югра;;;;37,902.4600
;;Центральный федеральный округ;;;;20,397.7100
;;Челябинская область;;;;16,735.8300
;;Чеченская Республика;;;;10,383.7200
;;Чувашская Республика;;;;14,874.4000
;;Южный федеральный  округ (с 2010 года);;;;14,903.1500
;;Ямало-Ненецкий автономный округ;;;;56,199.6300
;;Ярославская область;;;;17,366.2600
;мужчины;Алтайский край;;;;16,657.3100
;;Амурская область;;;;17,08
;;Архангельская область;;;;27,412.7300
;;Архангельская область (без АО);;;;27,412.7300
;;Астраханская область;;;;42,188.7800
;;Белгородская область;;;;21,614.8000
;;Брянская область;;;;18,544.0300
;;Владимирская область;;;;23,054.8700
;;Волгоградская область;;;;22,970.3200
;;Вологодская область;;;;34,920.7800
;;Воронежская область;;;;22,797.7400
;;г.Москва;;;;43,912.9700
;;г.Санкт-Петербург;;;;41,882.3900
;;Дальневосточный федеральный округ;;;;40,213.8100
;;Еврейская автономная область;;;;21,916.6700
;;Забайкальский край;;;;15,098.1900
;;Ивановская область;;;;14,698.3300
;;Иркутская область;;;;27,693.7900
;;Калининградская область;;;;25,311.2200
;;Калужская область;;;;27,812.5500
;;Карачаево-Черкесская Республика;;;;11,195.8000
;;Кемеровская область;;;;25,886.7500
;;Кировская область;;;;18,924.5000
;;Костромская область;;;;15,565.0300
;;Краснодарский край;;;;22,322.3900
;;Красноярский край;;;;45,244.8200
;;Курганская область;;;;20,612.9400
;;Курская область;;;;31,003.8900
;;Ленинградская область;;;;35,859.2200
;;Липецкая область;;;;19,787.2200
;;Магаданская область;;;;38,755.4600
;;Московская область;;;;38,229.6500
;;Мурманская область;;;;33,305.1700
;;Нижегородская область;;;;20,567.2100
;;Новгородская область;;;;37,028.4400
;;Новосибирская область;;;;22,910.1400
;;Омская область;;;;24,240.6800
;;Оренбургская область;;;;20,061.0500
;;Орловская область;;;;20,990.8900
;;Пензенская область;;;;21,591.6000
;;Пермский край;;;;28,083.5000
;;Приволжский федеральный округ;;;;22,825.4700
;;Приморский край;;;;25,078.1600
;;Псковская область;;;;22,391.3900
;;Республика Адыгея;;;;23,380.7900
;;Республика Башкортостан;;;;24,448.1800
;;Республика Бурятия;;;;26,900.8300
;;Республика Дагестан;;;;2,159.2900
;;Республика Ингушетия;;;;4,658.3300
;;Республика Карелия;;;;40,243.5700
;;Республика Коми;;;;41,165.4600
;;Республика Марий Эл;;;;21,142.7500
;;Республика Мордовия;;;;18,706.5000
;;Республика Саха (Якутия);;;;42,789.5500
;;Республика Северная Осетия - Алания;;;;14,45
;;Республика Татарстан;;;;22,959.7100
;;Республика Хакасия;;;;29,342.8300
;;Российская Федерация;;;;28,670.3300
;;Ростовская область;;;;23,640.9900
;;Рязанская область;;;;23,257.0800
;;Самарская область;;;;23,736.1900
;;Саратовская область;;;;17,691.3100
;;Сахалинская область;;;;74,242.8200
;;Свердловская область;;;;27,765.6100
;;Северо-Западный федеральный округ;;;;37,473.0200
;;Северо-Кавказский федеральный округ;;;;15,229.4800
;;Сибирский федеральный округ;;;;31,923.0200
;;Смоленская область;;;;20,745.8400
;;Ставропольский край;;;;16,905.6100
;;Тамбовская область;;;;18,621.8300
;;Тверская область;;;;20,323.7600
;;Томская область;;;;33,360.3300
;;Тульская область;;;;25,631.3700
;;Тюменская область;;;;48,844.7300
;;Тюменская область (без АО);;;;27,290.9200
;;Удмуртская Республика;;;;19,342.9800
;;Ульяновская область;;;;21,288.8000
;;Уральский федеральный округ;;;;30,560.6700
;;Хабаровский край;;;;32,781.8900
;;Ханты-Мансийский автономный округ-Югра;;;;52,236.7800
;;Центральный федеральный округ;;;;28,467.3900
;;Челябинская область;;;;25,144.4300
;;Чеченская Республика;;;;11,423.6000
;;Чувашская Республика;;;;19,599.9800
;;Южный федеральный  округ (с 2010 года);;;;23,930.3300
;;Ямало-Ненецкий автономный округ;;;;65,425.8700
;;Ярославская область;;;;26,941.5200
Производство машин и оборудования(без производства оружия и боеприпасов);Всего;Алтайский край;;7,063;8,913;
;;Амурская область;;8,939;10,032;
;;Архангельская область;;14,295;19,451;
;;Астраханская область;;25,125;27,937;
;;Белгородская область;;12,842;13,719;
;;Брянская область;;9,262;11,814;
;;Владимирская область;;13,015;15,404;
;;Волгоградская область;;11,757;13,277;
;;Вологодская область;;18,802;21,218;
;;Воронежская область;;10,172;12,619;
;;г.Москва;;27,43;39,687;
;;г.Санкт-Петербург;;19,044;27,676;
;;Дальневосточный федеральный округ;;17,059;21,849;
;;Еврейская автономная область;;8;14,921;
;;Забайкальский край;;10,062;9,235;
;;Ивановская область;;12,097;9,224;
;;Иркутская область;;15,55;20,012;
;;Кабардино-Балкарская Республика;;5,683;7,41;
;;Калининградская область;;17,748;20,971;
;;Калужская область;;12,533;15,441;
;;Камчатский край;;;26,412;
;;Карачаево-Черкесская Республика;;5,859;8,91;
;;Кемеровская область;;14,232;14,7;
;;Кировская область;;9,891;12,724;
;;Костромская область;;10,925;11,772;
;;Краснодарский край;;13,269;14,378;
;;Красноярский край;;26,078;29,899;
;;Курганская область;;12,136;11,6;
;;Курская область;;12,44;13,87;
;;Ленинградская область;;21,433;29,573;
;;Липецкая область;;12,161;14,16;
;;Магаданская область;;16,278;32,748;
;;Московская область;;19,669;30,164;
;;Мурманская область;;14,952;20,804;
;;Нижегородская область;;13,66;14,435;
;;Новгородская область;;13,456;20,777;
;;Новосибирская область;;15,316;17,088;
;;Омская область;;12,507;17,5;
;;Оренбургская область;;10,191;13,98;
;;Орловская область;;10,609;13,305;
;;Пензенская область;;10,515;13,781;
;;Пермский край;;14,948;19,024;
;;Приволжский федеральный округ;;11,937;15,039;
;;Приморский край;;11,49;16,971;
;;Псковская область;;1,351;10,93;
;;Республика Адыгея;;16,408;10,504;
;;Республика Башкортостан;;15,011;15,901;
;;Республика Дагестан;;2,654;5,396;
;;Республика Ингушетия;;2,879;4,338;
;;Республика Карелия;;15,591;23,178;
;;Республика Коми;;24,439;35,639;
;;Республика Марий Эл;;11,496;12,796;
;;Республика Мордовия;;9,079;13,525;
;;Республика Саха (Якутия);;23,358;25,93;
;;Республика Северная Осетия - Алания;;5,392;8,93;
;;Республика Татарстан;;9,264;15,875;
;;Республика Тыва;;3,214;;
;;Республика Хакасия;;15,987;18,963;
;;Российская Федерация;;15,477;18,789;
;;Ростовская область;;13,163;15,306;
;;Рязанская область;;12,616;14,769;
;;Самарская область;;12,55;16,13;
;;Саратовская область;;10,514;12,878;
;;Сахалинская область;;73,006;64,996;
;;Свердловская область;;16,948;18,118;
;;Северо-Западный федеральный округ;;18,06;24,512;
;;Северо-Кавказский федеральный округ;;7,225;14,857;
;;Сибирский федеральный округ;;17,783;20,715;
;;Смоленская область;;11,326;9,137;
;;Ставропольский край;;8,684;19,479;
;;Тамбовская область;;9,606;13,08;
;;Тверская область;;13,779;12,633;
;;Томская область;;17,776;16,146;
;;Тульская область;;13,033;16,923;
;;Тюменская область;;39,331;35,785;
;;Тюменская область (частично);;;19,257.8500;
;;Удмуртская Республика;;9,847;14,146;
;;Ульяновская область;;11,678;12,434;
;;Уральский федеральный округ;;20,634;20,415;
;;Хабаровский край;;16,807;16,081;
;;Ханты-Мансийский автономный округ-Югра;;38,03;37,446;
;;Центральный федеральный округ;;15,133;19,816;
;;Челябинская область;;14,942;17,63;
;;Чеченская Республика;;;10,507;
;;Чувашская Республика;;10,591;9,188;
;;Южный федеральный округ (по 2009 год);;13,037;14,831;
;;Ямало-Ненецкий автономный округ;;33,144;43,649;
;;Ярославская область;;13,194;15,688;
;женщины;Алтайский край;;5,054;7,012;
;;Амурская область;;7,594;11,475;
;;Архангельская область;;11,014;15,406;
;;Астраханская область;;17,937;17,25;
;;Белгородская область;;9,519;10,785;
;;Брянская область;;6,256;9,059;
;;Владимирская область;;10,402;12,926;
;;Волгоградская область;;8,304;9,623;
;;Вологодская область;;11,976;12,752;
;;Воронежская область;;6,706;10,056;
;;г.Москва;;20,607;51,387;
;;г.Санкт-Петербург;;14,652;21,614;
;;Дальневосточный федеральный округ;;13,67;15,203;
;;Еврейская автономная область;;12,6;10,54;
;;Забайкальский край;;7,165;7,284;
;;Ивановская область;;8,39;6,576;
;;Иркутская область;;11,219;14,961;
;;Кабардино-Балкарская Республика;;3,955;4,134;
;;Калининградская область;;14,2;15,264;
;;Калужская область;;9,954;11,492;
;;Камчатский край;;;23,467;
;;Карачаево-Черкесская Республика;;4,302;6,571;
;;Кемеровская область;;9,746;9,812;
;;Кировская область;;8,19;10,75;
;;Костромская область;;7,915;8,414;
;;Краснодарский край;;9,883;11,274;
;;Красноярский край;;17,12;20,45;
;;Курганская область;;7,994;8,015;
;;Курская область;;8,371;9,286;
;;Ленинградская область;;15,884;20,956;
;;Липецкая область;;9,214;12,014;
;;Магаданская область;;11,672;20,39;
;;Московская область;;14,897;22,993;
;;Мурманская область;;9,885;14,044;
;;Нижегородская область;;8,712;9,9;
;;Новгородская область;;9,811;13,769;
;;Новосибирская область;;11,789;14,532;
;;Омская область;;9,123;14,976;
;;Оренбургская область;;6,928;8,741;
;;Орловская область;;8,965;10,301;
;;Пензенская область;;7,719;9,405;
;;Пермский край;;11,201;14,966;
;;Приволжский федеральный округ;;8,945;11,29;
;;Приморский край;;8,246;13,437;
;;Псковская область;;9,214;9,596;
;;Республика Адыгея;;10,874;7,177;
;;Республика Башкортостан;;10,479;10,979;
;;Республика Дагестан;;2,365;4,333;
;;Республика Ингушетия;;3,778;4,343;
;;Республика Карелия;;11,495;13,814;
;;Республика Коми;;21,817;20,858;
;;Республика Марий Эл;;8,793;9,163;
;;Республика Мордовия;;6,051;9,778;
;;Республика Саха (Якутия);;2,135;12,925;
;;Республика Северная Осетия - Алания;;4,398;8,418;
;;Республика Татарстан;;9,254;12,985;
;;Республика Тыва;;8;;
;;Республика Хакасия;;11,121;14,491;
;;Российская Федерация;;10,915;14,198;
;;Ростовская область;;9,541;10,425;
;;Рязанская область;;8,517;9,684;
;;Самарская область;;9,08;11,886;
;;Саратовская область;;7,414;9,172;
;;Сахалинская область;;82,483;45,207;
;;Свердловская область;;13,801;14,107;
;;Северо-Западный федеральный округ;;13,185;17,908;
;;Северо-Кавказский федеральный округ;;5,377;8,396;
;;Сибирский федеральный округ;;12,033;14,341;
;;Смоленская область;;9,323;8,057;
;;Ставропольский край;;6,33;10,63;
;;Тамбовская область;;7,637;9,865;
;;Тверская область;;8,944;8,586;
;;Томская область;;13,073;10,591;
;;Тульская область;;8,996;11,738;
;;Тюменская область;;19,684;26,365;
;;Тюменская область (частично);;;13,824.4400;
;;Удмуртская Республика;;7,794;11,271;
;;Ульяновская область;;8,659;9,273;
;;Уральский федеральный округ;;13,145;14,388;
;;Хабаровский край;;14,452;13,925;
;;Ханты-Мансийский автономный округ-Югра;;19,229;29,167;
;;Центральный федеральный округ;;11,17;17,103;
;;Челябинская область;;10,8;12,52;
;;Чеченская Республика;;;6,74;
;;Чувашская Республика;;7,655;8,412;
;;Южный федеральный округ (по 2009 год);;9,144;10,318;
;;Ямало-Ненецкий автономный округ;;20,774;35,588;
;;Ярославская область;;9,67;11,929;
;мужчины;Алтайский край;;8,482;10,001;
;;Амурская область;;9,584;9,562;
;;Архангельская область;;15,332;20,859;
;;Астраханская область;;25,918;29,876;
;;Белгородская область;;14,192;14,89;
;;Брянская область;;11,259;13,071;
;;Владимирская область;;15,593;17,823;
;;Волгоградская область;;14,205;15,287;
;;Вологодская область;;21,561;24,154;
;;Воронежская область;;12,48;13,997;
;;г.Москва;;30,87;34,613;
;;г.Санкт-Петербург;;21,286;30,714;
;;Дальневосточный федеральный округ;;18,792;25,387;
;;Еврейская автономная область;;6,533;16,697;
;;Забайкальский край;;11,63;10,363;
;;Ивановская область;;13,759;10,476;
;;Иркутская область;;16,913;21,342;
;;Кабардино-Балкарская Республика;;6,384;9,404;
;;Калининградская область;;20,408;24,115;
;;Калужская область;;14,553;18,416;
;;Камчатский край;;;27,043;
;;Карачаево-Черкесская Республика;;6,425;9,886;
;;Кемеровская область;;16,336;16,794;
;;Кировская область;;11,098;14,392;
;;Костромская область;;12,315;13,238;
;;Краснодарский край;;14,599;15,642;
;;Красноярский край;;29,994;33,216;
;;Курганская область;;14,351;13,41;
;;Курская область;;13,971;17,815;
;;Ленинградская область;;23,531;33,661;
;;Липецкая область;;14,1;15,491;
;;Магаданская область;;18,508;37,13;
;;Московская область;;22,77;34,91;
;;Мурманская область;;17,598;22,584;
;;Нижегородская область;;15,841;16,759;
;;Новгородская область;;15,549;23,692;
;;Новосибирская область;;17,384;18,444;
;;Омская область;;13,788;18,318;
;;Оренбургская область;;12,109;17,245;
;;Орловская область;;11,578;15,233;
;;Пензенская область;;12,444;16,839;
;;Пермский край;;17,4;21,594;
;;Приволжский федеральный округ;;13,543;17,247;
;;Приморский край;;13,41;19,145;
;;Псковская область;;13,791;11,609;
;;Республика Адыгея;;18,011;11,525;
;;Республика Башкортостан;;16,961;18,086;
;;Республика Дагестан;;2,767;5,88;
;;Республика Ингушетия;;2,542;4,335;
;;Республика Карелия;;17,1;26,701;
;;Республика Коми;;24,773;37,895;
;;Республика Марий Эл;;12,735;15,595;
;;Республика Мордовия;;10,539;15,155;
;;Республика Саха (Якутия);;24,815;29,181;
;;Республика Северная Осетия - Алания;;6,274;9,146;
;;Республика Татарстан;;9,269;17,996;
;;Республика Тыва;;5,917;;
;;Республика Хакасия;;17,347;19,768;
;;Российская Федерация;;17,927;21,189;
;;Ростовская область;;15,353;18,563;
;;Рязанская область;;14,894;17,479;
;;Самарская область;;14,629;18,864;
;;Саратовская область;;12,493;15,21;
;;Сахалинская область;;70,892;68,361;
;;Свердловская область;;18,84;20,26;
;;Северо-Западный федеральный округ;;20,321;27,396;
;;Северо-Кавказский федеральный округ;;8,089;18,298;
;;Сибирский федеральный округ;;20,46;23,188;
;;Смоленская область;;12,208;9,859;
;;Ставропольский край;;9,759;24,148;
;;Тамбовская область;;10,756;15,039;
;;Тверская область;;15,938;15,173;
;;Томская область;;20,261;19,441;
;;Тульская область;;15,757;20,104;
;;Тюменская область;;45,84;38,293;
;;Тюменская область (частично);;;21,883.0100;
;;Удмуртская Республика;;10,862;15,378;
;;Ульяновская область;;12,97;13,824;
;;Уральский федеральный округ;;24,481;23,135;
;;Хабаровский край;;18,008;17,689;
;;Ханты-Мансийский автономный округ-Югра;;43,253;39,397;
;;Центральный федеральный округ;;17,522;21,445;
;;Челябинская область;;17,228;19,966;
;;Чеченская Республика;;;12,75;
;;Чувашская Республика;;12,431;9,625;
;;Южный федеральный округ (по 2009 год);;15,269;17,308;
;;Ямало-Ненецкий автономный округ;;38,178;45,37;
;;Ярославская область;;15,371;17,963;
Производство молочных продуктов;Всего;Алтайский край;4,573;6,469;8,51;11,399.3400
;;Амурская область;10,186;9,749;14,546;28,117.0700
;;Архангельская область;5,745;13,717;17,857;18,557.3300
;;Архангельская область (без АО);;;;17,738.8700
;;Астраханская область;3,977;5,813;;8,958.4500
;;Белгородская область;6,955;10,467;14,933;17,600.7400
;;Брянская область;5,143;8,455;11,93;15,035.7400
;;Владимирская область;6,496;10,781;16,225;18,104.2800
;;Волгоградская область;5,683;12,169;12,192;15,747.2900
;;Вологодская область;7,447;11,788;16,353;19,190.8100
;;Воронежская область;5,919;8,779;11,496;13,409.5700
;;г.Москва;21,107;29,112;51,519;52,761.4400
;;г.Санкт-Петербург;16,438;21,081;31,419;43,944.3300
;;Дальневосточный федеральный округ;9,459;12,402;18,609;24,078.6700
;;Еврейская автономная область;6,858;10,793;14,479;19,863.2400
;;Забайкальский край;8,438;18,275;21,182;57,096.7500
;;Ивановская область;3,595;7,839;10,266;12,019.0600
;;Иркутская область;6,427;9,753;15,946;15,174.8300
;;Кабардино-Балкарская Республика;2,87;;;
;;Калининградская область;2,521;12,939;12,38;19,750.7500
;;Калужская область;6,615;12,246;11,641;17,571.0600
;;Камчатский край;21,044;30,471;41,767;50,498.4100
;;Карачаево-Черкесская Республика;2,652;3,6;6,356;7,832.8000
;;Кемеровская область;6,835;11,887;14,621;12,025.6300
;;Кировская область;7,168;11,605;15,915;22,859.7800
;;Костромская область;5,073;7,857;11,758;21,461.6400
;;Краснодарский край;7,323;9,257;13,518;17,660.7600
;;Красноярский край;6,565;13,573;16,779;22,087.9200
;;Курганская область;6,397;9,157;12,123;17,104.6700
;;Курская область;3,394;6,065;10,81;12,297.8400
