Proffesion;Sex;Region;2005;2007;2009;2011
;;Калужская область;9,344;14,585;20,301;26,880.5500
;;Камчатский край;16,081;24,145;33,209;44,758.2300
;;Карачаево-Черкесская Республика;5,75;9,122;11,425;13,229.7300
;;Кемеровская область;12,246;17,216;20,74;28,561.8300
;;Кировская область;7,473;11,755;14,892;19,656.8400
;;Костромская область;7,824;11,844;15,839;19,678.7300
;;Краснодарский край;8,724;13,975;18,051;23,154.5300
;;Красноярский край;14,946;22,074;27,699;34,688.1100
;;Курганская область;7,482;11,945;14,346;19,115.5500
;;Курская область;7,761;12,435;16,229;20,425.9500
;;Ленинградская область;12,17;19,744;26,007;31,859.2000
;;Липецкая область;10,377;15,763;19,811;24,907.8700
;;Магаданская область;16,173;25,393;32,314;53,270.8900
;;Московская область;12,724;21,364;29,407;36,567.9800
;;Мурманская область;16,942;24,194;32,884;41,102.6800
;;Ненецкий авт.округ;29,842;34,243;44,774;50,683.3600
;;Нижегородская область;9,204;14,729;19,243;25,614.7200
;;Новгородская область;10,332;14,217;18,116;23,794.4200
;;Новосибирская область;9,684;15,59;21,851;26,752.1400
;;Омская область;10,719;13,943;18,274;24,097.7000
;;Оренбургская область;9,523;13,328;17,622;22,552.8000
;;Орловская область;7,197;10,974;14,633;18,483.1400
;;Пензенская область;6,691;10,843;15,215;19,139.7700
;;Пермский край;10,393;15,95;20,367;25,883.7700
;;Приволжский федеральный округ;9,118;14,059;17,884;23,193.0500
;;Приморский край;12,112;16,67;22,627;30,756.5800
;;Псковская область;7,099;11,096;15,189;19,520.2900
;;Республика Адыгея;6,333;9,356;13,49;16,749.2400
;;Республика Алтай;6,335;8,942;11,566;14,526.9300
;;Республика Башкортостан;9,373;15,505;19,519;24,194.2900
;;Республика Бурятия;9,817;14,43;19,856;27,057.9100
;;Республика Дагестан;4,048;6,459;9,712;14,315.2500
;;Республика Ингушетия;5,793;6,437;9,759;12,573.4900
;;Республика Калмыкия;5,406;7,71;10,658;13,296.7700
;;Республика Карелия;11,131;16,712;21,431;28,600.4700
;;Республика Коми;15,13;22,861;29,442;38,042
;;Республика Марий Эл;6,74;11,13;13,869;18,090.4000
;;Республика Мордовия;7,512;10,865;14,131;18,997.5800
;;Республика Саха (Якутия);15,619;25,804;35,448;42,209.4500
;;Республика Северная Осетия - Алания;5,255;7,766;11,272;15,013.1500
;;Республика Татарстан;9,86;14,544;18,864;24,731.3900
;;Республика Тыва;6,722;8,554;12,993;18,521.6800
;;Республика Хакасия;10,179;15,026;19,247;25,110.9600
;;Российская Федерация;11,778;17,949;23,946;30,004.9000
;;Ростовская область;8,203;13,889;17,765;22,026.2300
;;Рязанская область;8,955;13,323;17,353;22,323.2800
;;Самарская область;10,783;15,721;17,964;24,791.4400
;;Саратовская область;7,552;12,099;16,728;20,522.5700
;;Сахалинская область;20,31;31,38;46,129;53,612.3800
;;Свердловская область;11,544;18,037;21,41;28,188.5900
;;Северо-Западный федеральный округ;13,317;20,686;27,558;34,686.7100
;;Северо-Кавказский федеральный округ;5,942;9,002;12,441;16,169.6600
;;Сибирский федеральный округ;11,474;16,783;21,938;28,164.8000
;;Смоленская область;8,39;12,928;17,355;21,558.8400
;;Ставропольский край;7,447;11,608;15,705;19,479.5900
;;Тамбовская область;6,6;9,957;13,874;17,888.2900
;;Тверская область;9,152;14,036;18,604;23,703.8500
;;Томская область;13,41;20,215;24,36;31,893.2600
;;Тульская область;8,557;13,314;17,422;22,355.3600
;;Тюменская область;24,435;33,201;39,222;47,893.7200
;;Тюменская область (без АО);;;;35,668.3400
;;Тюменская область (частично);;;25,280.6700;
;;Удмуртская Республика;8,606;13,174;16,407;21,284.8100
;;Ульяновская область;7,426;11,717;14,887;19,413.7800
;;Уральский федеральный округ;16;23,463;28,207;35,650.0400
;;Хабаровский край;16,676;22,857;27,152;35,912.3600
;;Ханты-Мансийский автономный округ-Югра;25,364;34,58;38,11;45,935.0200
;;Центральный федеральный округ;12,657;19,539;28,703;34,326.3000
;;Челябинская область;10,416;16,045;19,981;25,890.7800
;;Чеченская Республика;;;11,25;13,839.6300
;;Чувашская Республика;7,271;11,665;14,253;18,727.6400
;;Чукотский автономный округ;24,861;32,006;43,257;52,380.1400
;;Южный федеральный  округ (с 2010 года);;;;22,146.6400
;;Южный федеральный округ (по 2009 год);8,505;12,372;17,638;
;;Ямало-Ненецкий автономный округ;31,598;40,492;50,275;61,492.3300
;;Ярославская область;10,26;15,277;19,273;23,707.7200
Вспомогательная и дополнительная транспортная  деятельность;Всего;Алтайский край;9,013;12,594;18,388;26,526.4300
;;Амурская область;7,995;17,921;26,056;34,987.7800
;;Архангельская область;13,448;19,912;25,067;33,357.5800
;;Архангельская область (без АО);;;;30,799.1200
;;Астраханская область;9,823;14,167;16,187;25,761.7500
;;Белгородская область;8,832;13,049;18,404;25,362.3700
;;Брянская область;9,485;10,592;15,512;21,200.9300
;;Владимирская область;9,448;14,638;15,867;20,972.0700
;;Волгоградская область;6,504;10,973;13,204;19,554.2500
;;Вологодская область;10,22;15,876;17,81;24,558.8500
;;Воронежская область;7,164;10,045;13,788;15,718.2500
;;г.Москва;21,131;25,24;27,923;41,057.7600
;;г.Санкт-Петербург;13,736;21,873;35,127;37,961.9500
;;Дальневосточный федеральный округ;15,471;22,312;29,921;40,011.4700
;;Еврейская автономная область;9,889;15,276;30,853;26,791.0500
;;Забайкальский край;11,088;14,933;19,608;26,276.1000
;;Ивановская область;5,291;7,34;13,253;19,855.4100
;;Иркутская область;11,114;19,496;26,06;33,248.9100
;;Кабардино-Балкарская Республика;6,09;10,807;10,925;19,355.0700
;;Калининградская область;12,08;15,288;18,693;21,841.8200
;;Калужская область;9,402;14,94;14,952;24,412.4100
;;Камчатский край;18,03;22,891;34,336;55,450.6800
;;Карачаево-Черкесская Республика;5,831;7,678;9,665;12,020.2400
;;Кемеровская область;11,703;15,864;21,902;28,068.9500
;;Кировская область;8,361;15,155;19,064;21,772.1800
;;Костромская область;8,162;12,248;13,23;17,883.1500
;;Краснодарский край;12,376;15,743;19,863;24,288.0300
;;Красноярский край;13,409;24,422;30,143;38,599.3800
;;Курганская область;3,85;9,148;16,398;30,114.2500
;;Курская область;5,562;8,167;10,879;18,139.7200
;;Ленинградская область;11,373;19,441;26,042;34,977.9600
;;Липецкая область;6,581;9,879;11,932;15,330.2700
;;Магаданская область;17,219;27,169;31,707;47,865.0600
;;Московская область;11,078;19,891;30,756;39,297.8800
;;Мурманская область;16,628;21,311;30,341;39,748.3300
;;Ненецкий авт.округ;31,227;31,104;43,861;59,443.5200
;;Нижегородская область;9,352;15,105;15,705;27,289.1800
